captcha_text,chr_acc_beam_1,filename,med_b1,predicted_beam_1
q02a9jk,4,/kaggle/input/test-colour/test_cleaned_color_resized/q02a9jk-0.png,0.5714285714285714,qo2a7sk
nowqcrpn,8,/kaggle/input/test-colour/test_cleaned_color_resized/nowqcrpn-0.png,1.0,nowqcrpn
jpquvw6,7,/kaggle/input/test-colour/test_cleaned_color_resized/jpquvw6-0.png,1.0,jpquvw6
4edetz3,7,/kaggle/input/test-colour/test_cleaned_color_resized/4edetz3-0.png,1.0,4edetz3
l2dxd3,5,/kaggle/input/test-colour/test_cleaned_color_resized/l2dxd3-0.png,0.8333333333333334,12dxd3
7aj8s1cr,6,/kaggle/input/test-colour/test_cleaned_color_resized/7aj8s1cr-0.png,0.75,7al8s1fr
mpq1,3,/kaggle/input/test-colour/test_cleaned_color_resized/mpq1-0.png,0.75,mpq
81jv,3,/kaggle/input/test-colour/test_cleaned_color_resized/81jv-0.png,0.75,87jv
wpkvs6,3,/kaggle/input/test-colour/test_cleaned_color_resized/wpkvs6-0.png,0.5,epxus6
guvl,3,/kaggle/input/test-colour/test_cleaned_color_resized/guvl-0.png,0.75,guyl
xuiiylwp,6,/kaggle/input/test-colour/test_cleaned_color_resized/xuiiylwp-0.png,0.75,xuluylwp
q7mqc9,5,/kaggle/input/test-colour/test_cleaned_color_resized/q7mqc9-0.png,0.8333333333333334,q7mqc4
rzq5bynz,7,/kaggle/input/test-colour/test_cleaned_color_resized/rzq5bynz-0.png,0.875,rzq5b4nz
iwna,3,/kaggle/input/test-colour/test_cleaned_color_resized/iwna-0.png,0.75,iwnr
zbk1c,5,/kaggle/input/test-colour/test_cleaned_color_resized/zbk1c-0.png,1.0,zbk1c
tnhp,4,/kaggle/input/test-colour/test_cleaned_color_resized/tnhp-0.png,1.0,tnhp
a19teh,5,/kaggle/input/test-colour/test_cleaned_color_resized/a19teh-0.png,0.8333333333333334,ai9teh
hj5ms,5,/kaggle/input/test-colour/test_cleaned_color_resized/hj5ms-0.png,1.0,hj5ms
j227gma8,6,/kaggle/input/test-colour/test_cleaned_color_resized/j227gma8-0.png,0.75,j227gn8
07oj,3,/kaggle/input/test-colour/test_cleaned_color_resized/07oj-0.png,0.75,o7oj
gatwbcv,7,/kaggle/input/test-colour/test_cleaned_color_resized/gatwbcv-0.png,1.0,gatwbcv
dmvd,4,/kaggle/input/test-colour/test_cleaned_color_resized/dmvd-0.png,1.0,dmvd
6gmo0yhp,8,/kaggle/input/test-colour/test_cleaned_color_resized/6gmo0yhp-0.png,0.8888888888888888,6gmmo0yhp
13v4msh,7,/kaggle/input/test-colour/test_cleaned_color_resized/13v4msh-0.png,1.0,13v4msh
