filename,captcha_text,predicted_text,predicted_text_printed,cleaned_predicted_text,cleaned_predicted_text_printed,chr_acc_hw,chr_acc_p
/kaggle/input/test-black/test_cleaned_black_resized/q02a9jk-0.png,q02a9jk,# # Q 0 2A.T.K.000,QOLATSK,q02atk000,qolatsk,4,3
/kaggle/input/test-black/test_cleaned_black_resized/nowqcrpn-0.png,nowqcrpn,N O. W. Q.C.R.P.N,NO WQCRPN,nowqcrpn,nowqcrpn,8,8
/kaggle/input/test-black/test_cleaned_black_resized/jpquvw6-0.png,jpquvw6,( I p.O U.V W.S.,JQQUVW6,ipouvws,jqquvw6,4,6
/kaggle/input/test-black/test_cleaned_black_resized/4edetz3-0.png,4edetz3,HEDET 23,4EDET23,hedet23,4edet23,5,6
/kaggle/input/test-black/test_cleaned_black_resized/l2dxd3-0.png,l2dxd3,12dx.a,/2PKDA,12dxa,2pkda,3,0
/kaggle/input/test-black/test_cleaned_black_resized/7aj8s1cr-0.png,7aj8s1cr,7 to 18. S.WT,10/8SKR,7to18swt,108skr,1,0
/kaggle/input/test-black/test_cleaned_black_resized/mpq1-0.png,mpq1,some p.a.C.,MAPPC,somepac,mappc,0,1
/kaggle/input/test-black/test_cleaned_black_resized/81jv-0.png,81jv,and 8 1 ),8 1] N,and81,81n,0,2
/kaggle/input/test-black/test_cleaned_black_resized/wpkvs6-0.png,wpkvs6,x 0 to 6.S.O,4 9 V 5 6,x0to6so,49v56,0,0
/kaggle/input/test-black/test_cleaned_black_resized/guvl-0.png,guvl,""" G.U.S.L.",GU4V,gusl,gu4v,3,2
/kaggle/input/test-black/test_cleaned_black_resized/xuiiylwp-0.png,xuiiylwp,# H. H. U. I. I.P. L. W.P. 1,#117LWP,hhuiiplwp1,117lwp,1,0
/kaggle/input/test-black/test_cleaned_black_resized/q7mqc9-0.png,q7mqc9,0 7 M.O.C. 9,07 M 0 C 9,07moc9,07m0c9,4,4
/kaggle/input/test-black/test_cleaned_black_resized/rzq5bynz-0.png,rzq5bynz,R Z Q.5 B.N.Z,RZ Q 5 B P N Z,rzq5bnz,rzq5bpnz,5,7
/kaggle/input/test-black/test_cleaned_black_resized/iwna-0.png,iwna,"# , but it is a",/WW,butitisa,ww,0,1
/kaggle/input/test-black/test_cleaned_black_resized/zbk1c-0.png,zbk1c,z b.k 1c.,Z PK14,zbk1c,zpk14,5,3
/kaggle/input/test-black/test_cleaned_black_resized/tnhp-0.png,tnhp,# T.N.H.P.,T N HP,tnhp,tnhp,4,4
/kaggle/input/test-black/test_cleaned_black_resized/a19teh-0.png,a19teh,A I G.T.E.H.,A19TEH,aigteh,a19teh,4,6
/kaggle/input/test-black/test_cleaned_black_resized/hj5ms-0.png,hj5ms,with J 5m.s.,HJ5MS,withj5ms,hj5ms,0,5
/kaggle/input/test-black/test_cleaned_black_resized/j227gma8-0.png,j227gma8,# SL27GMAB .,A27648,sl27gmab,a27648,5,1
/kaggle/input/test-black/test_cleaned_black_resized/07oj-0.png,07oj,"0 0703,",070,00703,070,1,2
/kaggle/input/test-black/test_cleaned_black_resized/gatwbcv-0.png,gatwbcv,G.G.G.A.T W.B.C.V.,GATWBCV,gggatwbcv,gatwbcv,1,7
/kaggle/input/test-black/test_cleaned_black_resized/dmvd-0.png,dmvd,d.m.v.d,D M V D,dmvd,dmvd,4,4
/kaggle/input/test-black/test_cleaned_black_resized/6gmo0yhp-0.png,6gmo0yhp,"2.66,000yhp.",69MOOYHP,266000yhp,69mooyhp,1,6
/kaggle/input/test-black/test_cleaned_black_resized/13v4msh-0.png,13v4msh,1 3vv 4m.s.h.,13 V 4 M S H,13vv4msh,13v4msh,3,7
/kaggle/input/test-black/test_cleaned_black_resized/58vxyzo-0.png,58vxyzo,s.B.V.X.Y.Z0,5 8 V X Y Z D,sbvxyz0,58vxyzd,4,6
/kaggle/input/test-black/test_cleaned_black_resized/vqf8-0.png,vqf8,# to # # #,VQTY,to,vqty,0,2
/kaggle/input/test-black/test_cleaned_black_resized/sgwdjb-0.png,sgwdjb,# S.G.NO.B.,SG40>6,sgnob,sg406,2,2
/kaggle/input/test-black/test_cleaned_black_resized/98en60a-0.png,98en60a,s. 8 2/827 A,SB + + 6DA,s82827a,sb6da,2,0
/kaggle/input/test-black/test_cleaned_black_resized/nih4y1e-0.png,nih4y1e,a.I.r.D.P.P.F.,***,airdppf,,1,0
/kaggle/input/test-black/test_cleaned_black_resized/8fa95b-0.png,8fa95b,2. 8fa95b.,8F8995B,28fa95b,8f8995b,0,3
/kaggle/input/test-black/test_cleaned_black_resized/qxi5i9w1-0.png,qxi5i9w1,Qatarooza Xanthapuram International Federation of Nations on the Government of the Western Territory,0 X 1 5 1 9 W 1,qataroozaxanthapuraminternationalfederationofnationsonthegovernmentofthewesternterritory,0x1519w1,1,5
