captcha_text,chr_acc_beam_1,chr_acc_beam_2,chr_acc_beam_3,chr_acc_beam_4,chr_acc_beam_5,filename,med_b1,med_b2,med_b3,med_b4,med_b5,predicted_beam_1,predicted_beam_2,predicted_beam_3,predicted_beam_4,predicted_beam_5
q02a9jk,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/q02a9jk-0.png,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,qo2a7sk,qo2a7sk,qo2a7sk,qo2a7sk,qo2a7sk
nowqcrpn,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/nowqcrpn-0.png,0.875,0.875,0.875,0.875,0.875,n0wqcrpn,n0wqcrpn,n0wqcrpn,n0wqcrpn,n0wqcrpn
jpquvw6,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/jpquvw6-0.png,1.0,1.0,1.0,1.0,1.0,jpquvw6,jpquvw6,jpquvw6,jpquvw6,jpquvw6
4edetz3,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/4edetz3-0.png,1.0,1.0,1.0,1.0,1.0,4edetz3,4edetz3,4edetz3,4edetz3,4edetz3
l2dxd3,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/l2dxd3-0.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,12dxd3,12dxd3,12dxd3,12dxd3,12dxd3
7aj8s1cr,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/7aj8s1cr-0.png,0.875,0.875,0.875,0.875,0.875,7aj8s1kr,7aj8s1kr,7aj8s1kr,7aj8s1kr,7aj8s1kr
mpq1,3,3,3,3,3,/kaggle/input/test-colour/test_cleaned_color_resized/mpq1-0.png,0.75,0.75,0.75,0.75,0.75,mpqc,mpqc,mpqc,mpqc,mpqc
81jv,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/81jv-0.png,1.0,1.0,1.0,1.0,1.0,81jv,81jv,81jv,81jv,81jv
wpkvs6,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/wpkvs6-0.png,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,zpxvs6,zpxvs6,zpxvs6,zpxvs6,zpxvs6
guvl,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/guvl-0.png,1.0,1.0,1.0,1.0,1.0,guvl,guvl,guvl,guvl,guvl
xuiiylwp,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/xuiiylwp-0.png,0.75,0.75,0.75,0.75,0.75,kui1ylwp,kuilylwp,kuilylwp,kuilylwp,kuilylwp
q7mqc9,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/q7mqc9-0.png,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,07m0c9,07m0c9,07m0c9,07m0c9,07m0c9
rzq5bynz,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/rzq5bynz-0.png,0.875,0.875,0.875,0.875,0.875,rzq5bqnz,rzq5b4nz,rzq5b4nz,rzq5b4nz,rzq5b4nz
iwna,2,2,2,2,2,/kaggle/input/test-colour/test_cleaned_color_resized/iwna-0.png,0.5,0.5,0.5,0.5,0.5,1wnr,1wnr,1wnr,1wnr,1wnr
zbk1c,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/zbk1c-0.png,0.8,0.8,0.8,0.8,0.8,zbklc,zbklc,zbklc,zbklc,zbklc
tnhp,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/tnhp-0.png,1.0,1.0,1.0,1.0,1.0,tnhp,tnhp,tnhp,tnhp,tnhp
a19teh,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/a19teh-0.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,ai9teh,ai9teh,ai9teh,ai9teh,ai9teh
hj5ms,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/hj5ms-0.png,1.0,1.0,1.0,1.0,1.0,hj5ms,hj5ms,hj5ms,hj5ms,hj5ms
j227gma8,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/j227gma8-0.png,0.875,0.875,0.875,0.875,0.875,j227gna8,j227gna8,j227gna8,j227gna8,j227gna8
07oj,3,3,3,3,3,/kaggle/input/test-colour/test_cleaned_color_resized/07oj-0.png,0.75,0.75,0.75,0.75,0.75,070j,070j,070j,070j,070j
gatwbcv,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/gatwbcv-0.png,1.0,1.0,1.0,1.0,1.0,gatwbcv,gatwbcv,gatwbcv,gatwbcv,gatwbcv
dmvd,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/dmvd-0.png,1.0,1.0,1.0,1.0,1.0,dmvd,dmvd,dmvd,dmvd,dmvd
6gmo0yhp,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/6gmo0yhp-0.png,1.0,1.0,1.0,1.0,1.0,6gmo0yhp,6gmo0yhp,6gmo0yhp,6gmo0yhp,6gmo0yhp
13v4msh,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/13v4msh-0.png,1.0,1.0,1.0,1.0,1.0,13v4msh,13v4msh,13v4msh,13v4msh,13v4msh
58vxyzo,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/58vxyzo-0.png,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,58vxyzq,58vxyzq,58vxyzq,58vxyzq,58vxyzq
vqf8,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/vqf8-0.png,1.0,1.0,1.0,1.0,1.0,vqf8,vqf8,vqf8,vqf8,vqf8
sgwdjb,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/sgwdjb-0.png,1.0,1.0,1.0,1.0,1.0,sgwdjb,sgwdjb,sgwdjb,sgwdjb,sgwdjb
98en60a,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/98en60a-0.png,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,98en6op,98en6op,98en6op,98en6op,98en6op
nih4y1e,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/nih4y1e-0.png,1.0,1.0,1.0,1.0,1.0,nih4y1e,nih4y1e,nih4y1e,nih4y1e,nih4y1e
